               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066057,            0.018245,            0.020393,             0.82719,             0.72468,             0.80735,             0.37778,            0.040636,           0.0063899,           0.0063352,            0.070061,           0.0033266,           0.0033266
                   1,             0.04665,            0.014231,           0.0055149,              0.7734,             0.75488,             0.79562,             0.43526,            0.036497,           0.0059091,           0.0044519,            0.040028,           0.0066269,           0.0066269
                   2,            0.043566,            0.013365,           0.0044247,             0.85574,             0.79426,             0.84969,             0.48886,            0.034337,           0.0058103,           0.0025805,            0.009962,           0.0098943,           0.0098943
                   3,            0.041409,            0.013622,           0.0044891,             0.85237,              0.7687,             0.83594,             0.46914,            0.033179,           0.0059103,           0.0034592,           0.0098515,           0.0098515,           0.0098515
                   4,            0.038904,            0.013328,           0.0037081,             0.87995,             0.80184,             0.87365,             0.54256,            0.030705,           0.0054463,           0.0015769,           0.0098515,           0.0098515,           0.0098515
                   5,              0.0364,            0.012945,           0.0031357,             0.85672,             0.77654,             0.83226,             0.50851,            0.031944,           0.0061691,           0.0016585,            0.009802,            0.009802,            0.009802
                   6,            0.034881,            0.012549,           0.0025055,             0.89733,              0.8478,             0.89522,             0.57226,            0.029102,           0.0053332,           0.0014644,           0.0097525,           0.0097525,           0.0097525
                   7,            0.033963,            0.012523,           0.0022743,             0.91202,             0.85359,             0.90176,              0.5843,            0.028676,           0.0049784,           0.0022473,            0.009703,            0.009703,            0.009703
                   8,            0.033585,            0.012184,           0.0019322,             0.87556,              0.8357,             0.88778,             0.57085,            0.028924,           0.0051907,           0.0013021,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032704,             0.01195,            0.001824,             0.87467,             0.80379,             0.86641,             0.55083,            0.028991,           0.0058807,           0.0014308,            0.009604,            0.009604,            0.009604
